run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"warmup","1","20260910","39","CHALLENGE","4","38","39","24616","68729","1711926","1","6","9314","151"
"warmup","1","20260910","40","ADVANCE_ROUND","0","39","40","84428","118592","1561475","2","5","9163","0"
"warmup","1","20260910","41","PLAY_ONE","4","40","41","27171","89528","1838995","1","6","9425","172"
"warmup","1","20260910","42","CHALLENGE","0","41","42","16932","65793","1551787","2","5","9155","0"
"warmup","1","20260910","43","ADVANCE_ROUND","0","42","43","83938","144871","1660751","2","5","9186","0"
"warmup","1","20260910","44","PLAY_ONE","0","43","44","33663","87153","1742814","2","5","9319","0"
"warmup","1","20260910","45","CHALLENGE","3","44","45","17412","65784","1607841","1","6","9376","151"
"warmup","1","20260910","46","ADVANCE_ROUND","0","45","46","70802","117389","1740370","2","5","9190","0"
"warmup","1","20260910","47","PLAY_ONE","3","46","47","24235","101370","1903185","1","6","9449","173"
"warmup","1","20260910","48","CHALLENGE","4","47","48","23464","73068","2168902","1","6","9165","151"
"warmup","1","20260910","49","ADVANCE_ROUND","0","48","49","131396","141936","1918784","2","5","9021","0"
"warmup","1","20260910","50","PLAY_ONE","0","49","50","25257","78767","1983957","2","5","9154","0"
"warmup","1","20260910","51","CHALLENGE","3","50","51","17252","64942","1828274","1","6","9206","151"
"warmup","1","20260910","52","ADVANCE_ROUND","0","51","52","69039","120035","1885733","2","5","9035","0"
"warmup","1","20260910","53","PLAY_ONE","3","52","53","29054","90940","2423230","1","6","9295","173"
"warmup","1","20260910","54","CHALLENGE","0","53","54","18054","60313","1943521","2","5","9005","0"
"sample","0","20260910","0","INITIAL","0","0","0",,"6152","2806","1","0","0","0"
"sample","0","20260910","1","JOIN","1","0","1",,"94146","220003","1","1","599","192"
"sample","0","20260910","2","JOIN","2","1","2",,"64390","373460","1","2","1225","192"
"sample","0","20260910","3","JOIN","3","2","3",,"63028","648284","1","3","1998","193"
"sample","0","20260910","4","JOIN","4","3","4",,"78818","692687","1","4","2917","193"
"sample","0","20260910","5","JOIN","5","4","5",,"70321","923209","1","5","3982","193"
"sample","0","20260910","6","READY","1","5","6",,"35456","977321","1","6","4014","163"
"sample","0","20260910","7","READY","2","6","7",,"40896","1159993","1","6","4009","163"
"sample","0","20260910","8","READY","3","7","8",,"52859","1160874","1","6","4004","163"
"sample","0","20260910","9","READY","4","8","9",,"46327","1124166","1","6","3999","163"
"sample","0","20260910","10","READY","5","9","10",,"64521","998159","1","6","4000","163"
"sample","0","20260910","11","START_GAME","0","10","11","86531","134121","1691409","2","5","8655","0"
"sample","0","20260910","12","PLAY_ONE","0","11","12","39684","77105","1876185","2","5","8788","0"
"sample","0","20260910","13","PLAY_ONE","1","12","13","25598","83877","1581422","1","6","8913","172"
"sample","0","20260910","14","PLAY_ONE","2","13","14","31019","75772","1520728","1","6","8883","172"
"sample","0","20260910","15","PLAY_ONE","3","14","15","27772","103294","1482146","1","6","8854","172"
"sample","0","20260910","16","PLAY_ONE","4","15","16","27451","82434","1807767","1","6","8825","172"
"sample","0","20260910","17","PLAY_ONE","5","16","17","27371","104456","1629132","1","6","8798","172"
"sample","0","20260910","18","CHALLENGE","0","17","18","19637","78968","1860185","2","5","9513","0"
"sample","0","20260910","19","ADVANCE_ROUND","0","18","19","70522","136996","1716416","2","5","9638","0"
"sample","0","20260910","20","PLAY_ONE","1","19","20","28173","96781","1958229","1","6","9898","172"
"sample","0","20260910","21","CHALLENGE","2","20","21","19747","78197","1970792","1","6","9785","151"
"sample","0","20260910","22","ADVANCE_ROUND","0","21","22","68218","126126","1653778","2","5","9638","0"
"sample","0","20260910","23","PLAY_ONE","2","22","23","24857","74169","1539884","1","6","9898","172"
"sample","0","20260910","24","CHALLENGE","3","23","24","20459","70612","1878740","1","6","9656","151"
"sample","0","20260910","25","ADVANCE_ROUND","0","24","25","73498","125746","1478620","2","5","9474","0"
"sample","0","20260910","26","PLAY_ONE","3","25","26","26960","83717","1578687","1","6","9733","172"
"sample","0","20260910","27","CHALLENGE","4","26","27","18545","70742","1510700","1","6","9625","151"
"sample","0","20260910","28","ADVANCE_ROUND","0","27","28","71354","134061","1419770","2","5","9479","0"
"sample","0","20260910","29","PLAY_ONE","4","28","29","24906","79298","1713189","1","6","9738","172"
"sample","0","20260910","30","CHALLENGE","5","29","30","18114","66034","1528964","1","6","9625","151"
"sample","0","20260910","31","ADVANCE_ROUND","0","30","31","103815","151173","1292982","2","5","9482","0"
"sample","0","20260910","32","PLAY_ONE","5","31","32","26149","80000","1619563","1","6","9744","172"
"sample","0","20260910","33","CHALLENGE","0","32","33","18756","64421","1342064","2","5","9345","0"
"sample","0","20260910","34","ADVANCE_ROUND","0","33","34","94307","117831","1280689","2","5","9324","0"
"sample","0","20260910","35","PLAY_ONE","0","34","35","24456","140393","1805863","2","5","9457","0"
"sample","0","20260910","36","CHALLENGE","1","35","36","20178","91552","1734038","1","6","9340","151"
"sample","0","20260910","37","ADVANCE_ROUND","0","36","37","75170","113332","1326615","2","5","9162","0"
"sample","0","20260910","38","PLAY_ONE","3","37","38","23715","84247","1601540","1","6","9422","172"
"sample","0","20260910","39","CHALLENGE","4","38","39","23324","61715","1358565","1","6","9314","151"
"sample","0","20260910","40","ADVANCE_ROUND","0","39","40","68679","116659","1310485","2","5","9163","0"
"sample","0","20260910","41","PLAY_ONE","4","40","41","27682","74690","1517843","1","6","9425","172"
"sample","0","20260910","42","CHALLENGE","0","41","42","19426","64210","1361430","2","5","9155","0"
"sample","0","20260910","43","ADVANCE_ROUND","0","42","43","81533","117851","1890471","2","5","9186","0"
"sample","0","20260910","44","PLAY_ONE","0","43","44","26580","90059","1862719","2","5","9319","0"
"sample","0","20260910","45","CHALLENGE","3","44","45","18826","75060","1541637","1","6","9376","151"
"sample","0","20260910","46","ADVANCE_ROUND","0","45","46","76202","133931","1402247","2","5","9190","0"
"sample","0","20260910","47","PLAY_ONE","3","46","47","28223","87795","1582725","1","6","9449","173"
"sample","0","20260910","48","CHALLENGE","4","47","48","25868","73408","1268506","1","6","9165","151"
"sample","0","20260910","49","ADVANCE_ROUND","0","48","49","65763","132097","1213162","2","5","9021","0"
"sample","0","20260910","50","PLAY_ONE","0","49","50","29946","89408","1500290","2","5","9154","0"
"sample","0","20260910","51","CHALLENGE","3","50","51","23504","77775","1231888","1","6","9206","151"
"sample","0","20260910","52","ADVANCE_ROUND","0","51","52","71073","146986","1194949","2","5","9035","0"
"sample","0","20260910","53","PLAY_ONE","3","52","53","27161","94276","1380126","1","6","9295","173"
"sample","0","20260910","54","CHALLENGE","0","53","54","22022","62136","1201270","2","5","9005","0"
"sample","1","20260910","0","INITIAL","0","0","0",,"5952","18915","1","0","0","0"
"sample","1","20260910","1","JOIN","1","0","1",,"151684","152205","1","1","599","192"
"sample","1","20260910","2","JOIN","2","1","2",,"95799","228728","1","2","1225","192"
"sample","1","20260910","3","JOIN","3","2","3",,"58379","363131","1","3","1998","193"
"sample","1","20260910","4","JOIN","4","3","4",,"64110","531967","1","4","2917","193"
"sample","1","20260910","5","JOIN","5","4","5",,"64430","614711","1","5","3982","193"
"sample","1","20260910","6","READY","1","5","6",,"29796","790030","1","6","4014","163"
"sample","1","20260910","7","READY","2","6","7",,"32080","664254","1","6","4009","163"
"sample","1","20260910","8","READY","3","7","8",,"44594","632564","1","6","4004","163"
"sample","1","20260910","9","READY","4","8","9",,"30047","587621","1","6","3999","163"
"sample","1","20260910","10","READY","5","9","10",,"32381","634589","1","6","4000","163"
"sample","1","20260910","11","START_GAME","0","10","11","90730","132448","1265711","2","5","8655","0"
"sample","1","20260910","12","PLAY_ONE","0","11","12","24186","150512","1115850","2","5","8788","0"
"sample","1","20260910","13","PLAY_ONE","1","12","13","25478","77555","1201030","1","6","8913","172"
"sample","1","20260910","14","PLAY_ONE","2","13","14","24015","68748","1332216","1","6","8883","172"
"sample","1","20260910","15","PLAY_ONE","3","14","15","24355","67246","1109307","1","6","8854","172"
"sample","1","20260910","16","PLAY_ONE","4","15","16","25337","74399","1150436","1","6","8825","172"
"sample","1","20260910","17","PLAY_ONE","5","16","17","26480","112642","1625064","1","6","8798","172"
"sample","1","20260910","18","CHALLENGE","0","17","18","18996","82334","1375446","2","5","9513","0"
"sample","1","20260910","19","ADVANCE_ROUND","0","18","19","74139","132618","1317498","2","5","9638","0"
"sample","1","20260910","20","PLAY_ONE","1","19","20","24276","79770","1405623","1","6","9898","172"
"sample","1","20260910","21","CHALLENGE","2","20","21","17292","76613","1251043","1","6","9785","151"
"sample","1","20260910","22","ADVANCE_ROUND","0","21","22","69991","121117","1156617","2","5","9638","0"
